UID,URL,NAME,RATING,TYPE,Latitude,Longitude
42,https://www.google.com/maps/place/The+Hindu+Bakery+and+Cafe/data=!4m7!3m6!1s0x3bc2c1b4577255fb:0x4997dfef577ba6e6!8m2!3d18.5108498!4d73.8522927!16s%2Fg%2F11ngtgxl5j!19sChIJ-1VyV7TBwjsR5qZ7V-_fl0k?authuser=0&hl=en&rclk=1,The Hindu Bakery and Cafe,4.7,Bakery and Cake Shop,18.5108498,73.8522927
43,https://www.google.com/maps/place/SP+CAKE+%26+CAF%C3%89/data=!4m7!3m6!1s0x3bc2c1b3f967d59d:0x3e0dd9cccdd96988!8m2!3d18.5072071!4d73.8513826!16s%2Fg%2F11jy4l7_np!19sChIJndVn-bPBwjsRiGnZzczZDT4?authuser=0&hl=en&rclk=1,SP CAKE & CAFÉ,4.3,Bakery and Cake Shop,18.5072071,73.8513826
44,https://www.google.com/maps/place/Diamond+Bakery+And+General+Stores/data=!4m7!3m6!1s0x3bc2c0f14cb9289d:0xa84a382da251a2bd!8m2!3d18.5370096!4d73.8723345!16s%2Fg%2F1pp2tx36d!19sChIJnSi5TPHAwjsRvaJRoi04Sqg?authuser=0&hl=en&rclk=1,Diamond Bakery And General Stores,3.5,Bakery and Cake Shop,18.5370096,73.8723345
45,https://www.google.com/maps/place/Siddhivinayak+food+services/data=!4m7!3m6!1s0x3bc2c1565ad71aaf:0xd181eb1c2b148424!8m2!3d18.5289461!4d73.8736218!16s%2Fg%2F11svjsgr7z!19sChIJrxrXWlbBwjsRJIQUKxzrgdE?authuser=0&hl=en&rclk=1,Siddhivinayak food services,1,Bakery and Cake Shop,18.5289461,73.8736218
46,https://www.google.com/maps/place/Indian+Bakers/data=!4m7!3m6!1s0x3bc2c1e3f19e59cf:0xd214f9f12e3a1d62!8m2!3d18.5403497!4d73.8645652!16s%2Fg%2F11rkgpwmbd!19sChIJz1me8ePBwjsRYh06LvH5FNI?authuser=0&hl=en&rclk=1,Indian Bakers,4.4,Bakery and Cake Shop,18.5403497,73.8645652
47,https://www.google.com/maps/place/Dilkhush+Bakery/data=!4m7!3m6!1s0x3bc2c0f6c2a55c53:0xac2382e09046f513!8m2!3d18.5356174!4d73.8734732!16s%2Fg%2F1pp2tx2kq!19sChIJU1ylwvbAwjsRE_VGkOCCI6w?authuser=0&hl=en&rclk=1,Dilkhush Bakery,0,Bakery and Cake Shop,18.5356174,73.8734732
48,https://www.google.com/maps/place/Zainab+Bakery+Store+And+Provision+Store/data=!4m7!3m6!1s0x3bc2c0f13ce9a11d:0x808e9be4ebfe8250!8m2!3d18.5382491!4d73.8734488!16s%2Fg%2F1pyd048qw!19sChIJHaHpPPHAwjsRUIL-6-SbjoA?authuser=0&hl=en&rclk=1,Zainab Bakery Store And Provision Store,4.8,Bakery and Cake Shop,18.5382491,73.8734488
49,https://www.google.com/maps/place/Western+Bekary/data=!4m7!3m6!1s0x3bc2c0f14abd14b3:0x281d0cca6554abfb!8m2!3d18.5371388!4d73.8726517!16s%2Fg%2F1pp2tx32_!19sChIJsxS9SvHAwjsR-6tUZcoMHSg?authuser=0&hl=en&rclk=1,Western Bekary,4.3,Bakery and Cake Shop,18.5371388,73.8726517
50,https://www.google.com/maps/place/SHAMA+BAKERY+AND+GENRAL+STORE/data=!4m7!3m6!1s0x3bc2c1524928f105:0xf6fe3a297e8a7df!8m2!3d18.5313348!4d73.875414!16s%2Fg%2F11pyzf2n3w!19sChIJBfEoSVLBwjsR36fol6Ljbw8?authuser=0&hl=en&rclk=1,SHAMA BAKERY AND GENRAL STORE,3,Bakery and Cake Shop,18.5313348,73.875414
51,https://www.google.com/maps/place/A-One+Bakery+%26+Ganral+%E0%A4%AC%E0%A5%87%E0%A4%95%E0%A4%B0%E0%A5%80+%E0%A4%90%E0%A4%82%E0%A4%A1+%E0%A4%9C%E0%A4%B0%E0%A4%A8%E0%A4%B2+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%8B%E0%A4%B0/data=!4m7!3m6!1s0x3bc2c1f4f0d3b03b:0x4d920c95c0d04dc1!8m2!3d18.5360674!4d73.8736808!16s%2Fg%2F11t04tsk9p!19sChIJO7DT8PTBwjsRwU3QwJUMkk0?authuser=0&hl=en&rclk=1,A-One Bakery & Ganral बेकरी ऐंड जरनल स्टोर,5,Bakery and Cake Shop,18.5360674,73.8736808
